Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,d8a5	12	0.02963360262865575	0.11083020586852799	54	1	48	0.5242718446601942	0.009708737864077669	0.46601941747572817
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,e7e6	12	0.02963360262865575	0.11083020586852799	9	1	3	0.6923076923076923	0.07692307692307693	0.23076923076923078
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,c8b7	12	0.02963360262865575	0.11083020586852799	8	0	4	0.6666666666666666	0.0	0.3333333333333333
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,f6e4	12	0.02963360262865575	0.11083020586852799	3	0	1	0.75	0.0	0.25
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,e7e5	12	0.02963360262865575	0.11083020586852799	2	0	1	0.6666666666666666	0.0	0.3333333333333333
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,a7a5	12	0.02963360262865575	0.11083020586852799	1	0	1	0.5	0.0	0.5
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,e2e4,d8b6	12	0.02963360262865575	0.11083020586852799	1	0	0	1.0	0.0	0.0
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,f8g7,g1f3	11	0.003760993860025304	0.014066184560826806	149	19	130	0.5	0.06375838926174497	0.436241610738255
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6	10	0.03815263234515602	0.1426915299576491	13118	1532	14234	0.4541614734801274	0.05303974518764714	0.49279878133222543
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a6,e2e4	11	0.03007934301910722	0.11249728293157407	10738	1210	11120	0.46549332408531297	0.05245361539795387	0.48205306051673313
