Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,c7c5,d4d5,f8g7,b1c3,g7c3,b2c3,e7e5	10	0.03071575658064	0.1148774810777827	348	32	473	0.4079718640093787	0.0375146541617819	0.5545134818288394	1. d4 g6 2. c4 c5 3. d5 Bg7 4. Nc3 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	22
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,f8g7,b1c3,c7c5,d4d5,g7c3,b2c3,e7e5	10	0.0300717778668105	0.112468989126161	348	32	473	0.4079718640093787	0.0375146541617819	0.5545134818288394	1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	22
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,g8f6,b1c3,d8c7	10	0.107780517685918	0.1993631825779608	2048	222	2821	0.4022785307405225	0.0436063641720683	0.5541151050874091	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Qc7	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6	23
B27: Sicilian Defense: Quinteros Variation	e2e4,c7c5,g1f3,d8c7,d2d4,c5d4,f3d4,g8f6,b1c3,a7a6	10	0.1019756195338584	0.188625778499907	2048	222	2821	0.4022785307405225	0.0436063641720683	0.5541151050874091	1. e4 c5 2. Nf3 Qc7 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	23
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,d8c7,b1c3,g8f6	10	0.0910384669660315	0.1683951691924183	2048	222	2821	0.4022785307405225	0.0436063641720683	0.5541151050874091	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Qc7 5. Nc3 Nf6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6	23
B27: Sicilian Defense: Quinteros Variation	e2e4,c7c5,g1f3,d8c7,d2d4,c5d4,f3d4,a7a6,b1c3,g8f6	10	0.0806260495606735	0.1491351701050922	2048	222	2821	0.4022785307405225	0.0436063641720683	0.5541151050874091	1. e4 c5 2. Nf3 Qc7 3. d4 cxd4 4. Nxd4 a6 5. Nc3 Nf6	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 6	23
E61: King's Indian Defense	d2d4,g8f6,c2c4,g7g6,b1c3,f6g4	6	0.0944968584878183	0.3534199473271788	383	15	494	0.429372197309417	0.0168161434977578	0.5538116591928252	1. d4 Nf6 2. c4 g6 3. Nc3 Ng4	rnbqkb1r/pppppp1p/6p1/8/2PP2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4	24
E61: King's Indian Defense	d2d4,g7g6,c2c4,g8f6,b1c3,f6g4	6	0.078528691867671	0.2936987174777065	383	15	494	0.429372197309417	0.0168161434977578	0.5538116591928252	1. d4 g6 2. c4 Nf6 3. Nc3 Ng4	rnbqkb1r/pppppp1p/6p1/8/2PP2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4	24
A41: Old Indian Defense	d2d4,d7d6,c2c4,g7g6,b1c3,c7c6,e2e4,e7e5	8	0.0377882058489117	0.1413285683188358	346	112	567	0.3375609756097561	0.1092682926829268	0.5531707317073171	1. d4 d6 2. c4 g6 3. Nc3 c6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	25
A40: Queen's Pawn Game: Modern Defense	d2d4,g7g6,c2c4,d7d6,b1c3,c7c6,e2e4,e7e5	8	0.0370910428098669	0.1387211660360451	346	112	567	0.3375609756097561	0.1092682926829268	0.5531707317073171	1. d4 g6 2. c4 d6 3. Nc3 c6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	25
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,d7d6,c2c4,c7c6,b1c3,g7g6,e2e4,e7e5	8	0.0366992460587836	0.1372558391527323	346	112	567	0.3375609756097561	0.1092682926829268	0.5531707317073171	1. d4 d6 2. c4 c6 3. Nc3 g6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	25
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,a7a6,c6b7,c8b7,g1f3,b8d7	10	0.0958448051737021	0.177285522497452	371	30	492	0.4154535274356103	0.0335946248600224	0.5509518477043673	1. e4 d5 2. exd5 c6 3. dxc6 a6 4. cxb7 Bxb7 5. Nf3 Nd7	r2qkbnr/1b1npppp/p7/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	26
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,a7a6,c6b7,c8b7,g1f3,g8f6	10	0.0958448051737021	0.177285522497452	1430	118	1898	0.4149738827626233	0.0342426001160766	0.5507835171213	1. e4 d5 2. exd5 c6 3. dxc6 a6 4. cxb7 Bxb7 5. Nf3 Nf6	rn1qkb1r/1b2pppp/p4n2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	27
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,g8f6,c6b7,c8b7,g1f3,a7a6	10	0.067564664409021	0.1249753370608851	1430	118	1898	0.4149738827626233	0.0342426001160766	0.5507835171213	1. e4 d5 2. exd5 c6 3. dxc6 Nf6 4. cxb7 Bxb7 5. Nf3 a6	rn1qkb1r/1b2pppp/p4n2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 6	27
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5	10	0.107780517685918	0.1993631825779608	60887	7781	83983	0.3988640755710739	0.0509724797086163	0.5501634447203098	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5	rnbqkb1r/1p1p1ppp/p4n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	28
B28: Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,e7e5,d4f3,g8f6	10	0.0632411615705478	0.1169780913223311	8515	905	11515	0.4067351325531407	0.0432290422737043	0.550035825173155	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 e5 5. Nf3 Nf6	rnbqkb1r/1p1p1ppp/p4n2/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6	29
B00: Nimzowitsch Defense: Declined Variation	e2e4,b8c6,g1f3,d7d5,e4d5,d8d5,b1c3,d5h5,f1e2	9	0.0542090163811296	0.1002712017180711	12843	1464	17487	0.4039441404038498	0.0460464238535572	0.550009435742593	1. e4 Nc6 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qh5 5. Be2	r1b1kbnr/ppp1pppp/2n5/7q/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 3 5	30
