Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval
A40: Englund Gambit Complex: Englund Gambit	d2d4,e7e5,d4e5,d8e7,g1f3,b8c6,c1f4,e7b4	8	0.0287935793453648	0.1076885037073653	164533	11062	239083	0.3967729177819898	0.0266761197845075	0.5765509624335026	1. d4 e5 2. dxe5 Qe7 3. Nf3 Nc6 4. Bf4 Qb4+	r1b1kbnr/pppp1ppp/2n5/4P3/1q3B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 5 5	11	+211
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,e7e6,c6b7,c8b7,g1f3,b8c6	10	0.0710434892330651	0.1314101696581243	249	15	359	0.3996789727126806	0.0240770465489566	0.5762439807383628	1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nc6	r2qkbnr/pb3ppp/2n1p3/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	12	+301
A41: Rat Defense: English Rat, Lisbon Gambit	d2d4,d7d6,c2c4,e7e5,d4e5,b8c6,e5d6,d8d6,d1d6,f8d6	10	0.0273140354082479	0.1021549828190329	393	65	610	0.3679775280898876	0.0608614232209737	0.5711610486891385	1. d4 d6 2. c4 e5 3. dxe5 Nc6 4. exd6 Qxd6 5. Qxd6 Bxd6	r1b1k1nr/ppp2ppp/2nb4/8/2P5/8/PP2PPPP/RNB1KBNR w KQkq - 0 6	13	+79
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,g8f6,b1c3,c7c6,d5c6,a7a6	8	0.0903784959559841	0.1671744112688419	1223	88	1721	0.4033641160949868	0.0290237467018469	0.5676121372031663	1. e4 d5 2. exd5 Nf6 3. Nc3 c6 4. dxc6 a6	rnbqkb1r/1p2pppp/p1P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 5	14	+228
B27: Sicilian Defense	e2e4,c7c5,g1f3,d7d5,d2d4,d5e4	6	0.0594370850449707	0.1099416359480938	18225	1832	26011	0.3956108361552488	0.0397673005122861	0.564621863332465	1. e4 c5 2. Nf3 d5 3. d4 dxe4	rnbqkbnr/pp2pppp/8/2p5/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	15	-115
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,e7e6,c6b7,c8b7,g1f3,b8d7	10	0.0710434892330651	0.1314101696581243	280	18	379	0.413589364844904	0.0265878877400295	0.5598227474150664	1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nd7	r2qkbnr/pb1n1ppp/4p3/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	16	+308
A40: Mikenas Defense: Lithuanian Variation	d2d4,e7e5,c2c4,b8c6,d4d5,c6e7	6	0.0277133410245852	0.1036483929932091	53348	4592	73480	0.4059351696849794	0.0349414092223405	0.55912342109268	1. d4 e5 2. c4 Nc6 3. d5 Nce7	r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4	17	+89
A41: Old Indian Defense	d2d4,d7d6,c2c4,b8d7,b1c3,c7c6,e2e4,a7a5	8	0.039108793156532	0.1462675885589665	904	92	1262	0.4003542958370239	0.0407440212577502	0.5589016829052259	1. d4 d6 2. c4 Nd7 3. Nc3 c6 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	18	+125
B03: Alekhine Defense: O'Sullivan Gambit	e2e4,g8f6,e4e5,f6d5,d2d4,b7b5,f1b5,c7c5	8	0.0643094081841624	0.1189540425354153	4862	397	6647	0.4083655299848815	0.0333445321686544	0.558289937846464	1. e4 Nf6 2. e5 Nd5 3. d4 b5 4. Bxb5 c5	rnbqkb1r/p2ppppp/8/1BpnP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 5	19	+203
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,g8f6,b1c3,c7c6,d5c6,d8c7	8	0.0903784959559841	0.1671744112688419	491	39	665	0.4108786610878661	0.0326359832635983	0.5564853556485355	1. e4 d5 2. exd5 Nf6 3. Nc3 c6 4. dxc6 Qc7	rnb1kb1r/ppq1pppp/2P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 5	20	+231
B02: Alekhine Defense: Scandinavian Variation	e2e4,g8f6,b1c3,d7d5,e4e5,c8g4	6	0.0629085719380667	0.116362895468317	1377	106	1847	0.4135135135135135	0.0318318318318318	0.5546546546546547	1. e4 Nf6 2. Nc3 d5 3. e5 Bg4	rn1qkb1r/ppp1pppp/5n2/3pP3/6b1/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 4	21	+425
A43: Benoni Defense: Old Benoni	d2d4,c7c5,d4d5,g7g6,c2c4,f8g7,b1c3,g7c3,b2c3,e7e5	10	0.032401901736206	0.1211836942324023	348	32	473	0.4079718640093787	0.0375146541617819	0.5545134818288394	1. d4 c5 2. d5 g6 3. c4 Bg7 4. Nc3 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	22	+76
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,g8f6,b1c3,d8c7	10	0.107780517685918	0.1993631825779608	2048	222	2821	0.4022785307405225	0.0436063641720683	0.5541151050874091	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Qc7	rnb1kb1r/1pqppppp/p4n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6	23	+62
E61: King's Indian Defense	d2d4,g8f6,c2c4,g7g6,b1c3,f6g4	6	0.0944968584878183	0.3534199473271788	383	15	494	0.429372197309417	0.0168161434977578	0.5538116591928252	1. d4 Nf6 2. c4 g6 3. Nc3 Ng4	rnbqkb1r/pppppp1p/6p1/8/2PP2n1/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4	24	+175
A41: Old Indian Defense	d2d4,d7d6,c2c4,g7g6,b1c3,c7c6,e2e4,e7e5	8	0.0377882058489117	0.1413285683188358	346	112	567	0.3375609756097561	0.1092682926829268	0.5531707317073171	1. d4 d6 2. c4 g6 3. Nc3 c6 4. e4 e5	rnbqkbnr/pp3p1p/2pp2p1/4p3/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	25	+105
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,a7a6,c6b7,c8b7,g1f3,b8d7	10	0.0958448051737021	0.177285522497452	371	30	492	0.4154535274356103	0.0335946248600224	0.5509518477043673	1. e4 d5 2. exd5 c6 3. dxc6 a6 4. cxb7 Bxb7 5. Nf3 Nd7	r2qkbnr/1b1npppp/p7/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	26	+349
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,a7a6,c6b7,c8b7,g1f3,g8f6	10	0.0958448051737021	0.177285522497452	1430	118	1898	0.4149738827626233	0.0342426001160766	0.5507835171213	1. e4 d5 2. exd5 c6 3. dxc6 a6 4. cxb7 Bxb7 5. Nf3 Nf6	rn1qkb1r/1b2pppp/p4n2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	27	+367
B28: Sicilian Defense: O'Kelly Variation, Normal System	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,g8f6,b1c3,e7e5	10	0.107780517685918	0.1993631825779608	60887	7781	83983	0.3988640755710739	0.0509724797086163	0.5501634447203098	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5	rnbqkb1r/1p1p1ppp/p4n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6	28	+15
B28: Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,e7e5,d4f3,g8f6	10	0.0632411615705478	0.1169780913223311	8515	905	11515	0.4067351325531407	0.0432290422737043	0.550035825173155	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 e5 5. Nf3 Nf6	rnbqkb1r/1p1p1ppp/p4n2/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6	29	+61
B00: Nimzowitsch Defense: Declined Variation	e2e4,b8c6,g1f3,d7d5,e4d5,d8d5,b1c3,d5h5,f1e2	9	0.0542090163811296	0.1002712017180711	12843	1464	17487	0.4039441404038498	0.0460464238535572	0.550009435742593	1. e4 Nc6 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qh5 5. Be2	r1b1kbnr/ppp1pppp/2n5/7q/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 3 5	30	-118
