Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,f1g2,g7g6,c2c4,f8g7,b1c3,e8h8,e2e4,d7d6,h2h3	11	0.0198663598190918	0.1861671403639084	6358	576	4575	0.552437223042836	0.0500477886871144	0.3975149882700495	1. g3 Nf6 2. Bg2 g6 3. c4 Bg7 4. Nc3 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,f1g2,g7g6,c2c4,f8g7,e2e4,d7d6,b1c3,e8h8,h2h3	11	0.0165014656415881	0.1546348046789869	6358	576	4575	0.552437223042836	0.0500477886871144	0.3975149882700495	1. g3 Nf6 2. Bg2 g6 3. c4 Bg7 4. e4 d6 5. Nc3 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,c2c4,f8g7,f1g2,g8f6,b1c3,e8h8,e2e4,d7d6,h2h3	11	0.0117742231782713	0.132815071460685	6359	576	4576	0.5524281122404656	0.0500390930414386	0.3975327947180957	1. g3 g6 2. c4 Bg7 3. Bg2 Nf6 4. Nc3 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,f1g2,f8g7,c2c4,g8f6,b1c3,e8h8,e2e4,d7d6,h2h3	11	0.0116318687235889	0.1312092910380511	6359	576	4576	0.5524281122404656	0.0500390930414386	0.3975327947180957	1. g3 g6 2. Bg2 Bg7 3. c4 Nf6 4. Nc3 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,c2c4,f8g7,b1c3,g8f6,e2e4,d7d6,f1g2,e8h8,h2h3	11	0.0114164326674244	0.1287791387671559	6359	576	4576	0.5524281122404656	0.0500390930414386	0.3975327947180957	1. g3 g6 2. c4 Bg7 3. Nc3 Nf6 4. e4 d6 5. Bg2 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,c2c4,f8g7,b1c3,g8f6,e2e4,d7d6,h2h3,e8h8,f1g2	11	0.0112023080486426	0.1263637797142146	6359	576	4576	0.5524281122404656	0.0500390930414386	0.3975327947180957	1. g3 g6 2. c4 Bg7 3. Nc3 Nf6 4. e4 d6 5. h3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,c2c4,f8g7,b1c3,g8f6,f1g2,e8h8,e2e4,d7d6,h2h3	11	0.0105971268932415	0.1195372420153542	6359	576	4576	0.5524281122404656	0.0500390930414386	0.3975327947180957	1. g3 g6 2. c4 Bg7 3. Nc3 Nf6 4. Bg2 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,b1c3,f8g7,e2e4,d7d6,f1g2,e8h8,h2h3	11	0.0180643976031547	0.1692809993778563	6358	576	4576	0.5523892267593397	0.0500434404865334	0.3975673327541268	1. g3 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Bg2 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,b1c3,f8g7,e2e4,d7d6,h2h3,e8h8,f1g2	11	0.0177255372182884	0.1661055475382819	6358	576	4576	0.5523892267593397	0.0500434404865334	0.3975673327541268	1. g3 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. h3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,f1g2,f8g7,b1c3,e8h8,e2e4,d7d6,h2h3	11	0.0173458948409827	0.1625479287098927	6358	576	4576	0.5523892267593397	0.0500434404865334	0.3975673327541268	1. g3 Nf6 2. c4 g6 3. Bg2 Bg7 4. Nc3 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,b1c3,f8g7,f1g2,e8h8,e2e4,d7d6,h2h3	11	0.0167683646751467	0.1571359085699847	6358	576	4576	0.5523892267593397	0.0500434404865334	0.3975673327541268	1. g3 Nf6 2. c4 g6 3. Nc3 Bg7 4. Bg2 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,f1g2,f8g7,e2e4,d7d6,b1c3,e8h8,h2h3	11	0.0144082356147041	0.1350192006238167	6358	576	4576	0.5523892267593397	0.0500434404865334	0.3975673327541268	1. g3 Nf6 2. c4 g6 3. Bg2 Bg7 4. e4 d6 5. Nc3 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,f8g7,g1e2	7	0.0306428558178302	0.1529608832711209	2385	170	1672	0.5642299503193754	0.0402176484504376	0.3955524012301868	1. c4 Nf6 2. Nc3 g6 3. e4 Bg7 4. Nge2	rnbqk2r/ppppppbp/5np1/8/2P1P3/2N5/PP1PNPPP/R1BQKB1R b KQkq - 2 4	281
A02: Bird Opening	f2f4,e7e6,e2e3,d7d5,b2b3,c7c5,c1b2	7	0.0146431018897711	0.142254678383285	13995	936	9879	0.5640870616686819	0.037726723095526	0.398186215235792	1. f4 e6 2. e3 d5 3. b3 c5 4. Bb2	rnbqkbnr/pp3ppp/4p3/2pp4/5P2/1P2P3/PBPP2PP/RN1QKBNR b KQkq - 1 4	282
A02: Bird Opening	f2f4,e7e6,b2b3,d7d5,e2e3,c7c5,c1b2	7	0.0144125695529021	0.1400151048499508	13995	936	9879	0.5640870616686819	0.037726723095526	0.398186215235792	1. f4 e6 2. b3 d5 3. e3 c5 4. Bb2	rnbqkbnr/pp3ppp/4p3/2pp4/5P2/1P2P3/PBPP2PP/RN1QKBNR b KQkq - 1 4	282
