Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval
B01: Scandinavian Defense: Main Line, Leonhardt Gambit	e2e4,d7d5,e4d5,d8d5,b1c3,d5a5,b2b4	7	0.0210214745694857	0.2132561983078083	100238	5812	68148	0.5754256650478191	0.0333643325411313	0.3912100024110495	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. b4	rnb1kbnr/ppp1pppp/8/q7/1P6/2N5/P1PP1PPP/R1BQKBNR b KQkq - 0 4	199	+33
B10: Caro-Kann Defense	e2e4,c7c6,f2f4,d7d5,e4d5,c6d5,d2d4,b8c6,f1d3,g8f6,c2c3,c8g4,d1b3	13	0.0102445799901796	0.1241203336314235	1515	96	1024	0.5749525616698292	0.0364326375711574	0.3886148007590133	1. e4 c6 2. f4 d5 3. exd5 cxd5 4. d4 Nc6 5. Bd3 Nf6 6. c3 Bg4 7. Qb3	r2qkb1r/pp2pppp/2n2n2/3p4/3P1Pb1/1QPB4/PP4PP/RNB1K1NR b KQkq - 2 7	200	+38
D00: Queen's Pawn Game	d2d4,d7d5,c2c3,e7e6,g1f3,g8f6,e2e4	7	0.0362799525245513	0.1023203562736156	4434	256	3027	0.5745756122845666	0.0331735130231955	0.3922508746922379	1. d4 d5 2. c3 e6 3. Nf3 Nf6 4. e4	rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4	201	+152
C14: French Defense: Classical Variation, Alapin Variation	b1c3,e7e6,e2e4,d7d5,d2d4,g8f6,c1g5,f8e7,e4e5,f6d7,g5e7,d8e7,c3b5	13	0.0122441724820875	0.1124763618482791	8029	698	5247	0.5745670530986117	0.0499499069700873	0.375483039931301	1. Nc3 e6 2. e4 d5 3. d4 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7 7. Nb5	rnb1k2r/pppnqppp/4p3/1N1pP3/3P4/8/PPP2PPP/R2QKBNR b KQkq - 1 7	202	-24
A00: Van Geet Opening: Napoleon Attack	b1c3,e7e5,g1f3,b8c6,d2d4,e5d4,f3d4,c6d4,d1d4	9	0.0192168911668403	0.1512570870184706	14242	1357	9189	0.5745522026787155	0.0547442310795546	0.3707035662417298	1. Nc3 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4	r1bqkbnr/pppp1ppp/8/8/3Q4/2N5/PPP1PPPP/R1B1KB1R b KQkq - 0 5	203	-82
B10: Caro-Kann Defense	e2e4,c7c6,f2f4,d7d5,g1f3,d5e4,f3g5,c8f5,g2g4	9	0.0125047948254894	0.1515044352447899	837	46	574	0.574468085106383	0.0315717227179135	0.3939601921757035	1. e4 c6 2. f4 d5 3. Nf3 dxe4 4. Ng5 Bf5 5. g4	rn1qkbnr/pp2pppp/2p5/5bN1/4pPP1/8/PPPP3P/RNBQKB1R b KQkq - 0 5	204	+81
D30: Queen's Gambit Declined	d2d4,d7d5,c2c4,e7e6,c4d5,e6d5,a2a3,g8f6,b2b4	9	0.0490223523695634	0.1382577487230734	565	53	366	0.5741869918699187	0.0538617886178861	0.3719512195121951	1. d4 d5 2. c4 e6 3. cxd5 exd5 4. a3 Nf6 5. b4	rnbqkb1r/ppp2ppp/5n2/3p4/1P1P4/P7/4PPPP/RNBQKBNR b KQkq - 0 5	205	+76
A00: Van't Kruijs Opening	e2e3,e7e6,d2d3,d7d5,f1e2,g8f6,c2c4	7	0.026807741189299	0.2347778988760284	454	23	314	0.5739570164348925	0.0290771175726927	0.3969658659924147	1. e3 e6 2. d3 d5 3. Be2 Nf6 4. c4	rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/3PP3/PP2BPPP/RNBQK1NR b KQkq - 0 4	206	+19
B15: Caro-Kann Defense: Rasa-Studier Gambit	e2e4,c7c6,d2d4,d7d5,b1c3,d5e4,f2f3,e4f3,d1f3,g8f6,f1d3,c8g4,f3f2,e7e6,g1e2	15	0.0105170412368311	0.1274213943746094	304	15	211	0.5735849056603773	0.0283018867924528	0.3981132075471698	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. f3 exf3 5. Qxf3 Nf6 6. Bd3 Bg4 7. Qf2 e6 8. Nge2	rn1qkb1r/pp3ppp/2p1pn2/8/3P2b1/2NB4/PPP1NQPP/R1B1K2R b KQkq - 1 8	207	+94
A01: Nimzo-Larsen Attack	b2b3,e7e6,e2e3,d7d5,c1b2,g8f6,b1c3,f8e7,g2g4	9	0.0143680025844651	0.1493435249348716	422	32	282	0.5733695652173914	0.0434782608695652	0.3831521739130434	1. b3 e6 2. e3 d5 3. Bb2 Nf6 4. Nc3 Be7 5. g4	rnbqk2r/ppp1bppp/4pn2/3p4/6P1/1PN1P3/PBPP1P1P/R2QKBNR b KQkq - 0 5	208	+21
